Hero_id,degree_centrality,closeness_centrality,betweenness_centrality,Ant-Man,Ant-Man and the Wasp,Ant-Man and the Wasp: Quantumania,Avengers: Age of Ultron,Avengers: Endgame,Avengers: Infinity War,Black Panther,Black Panther: Wakanda Forever,Black Widow,Captain America: Civil War,Captain America: The First Avenger,Captain America: The Winter Soldier,Captain Marvel,Doctor Strange,Doctor Strange in the Multiverse of Madness,Eternals,Guardians of the Galaxy,Guardians of the Galaxy Vol. 2,Iron Man,Iron Man 2,Iron Man 3,Marvel’s The Avengers,Shang-Chi and the Legend of the Ten Rings,Spider-Man: Far From Home,Spider-Man: Homecoming,Spider-Man: No Way Home,The Incredible Hulk,Thor,Thor: Love and Thunder,Thor: Ragnarok,Thor: The Dark World,Unnamed: 0,Villain
59,0.1875,0.04265940549126401,0.004841210687762517,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.0
60,0.075,0.03174774269812697,0.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.0
61,0.41874999999999996,0.2725217691005485,0.0018411180927470642,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.0
62,0.16250000000000003,0.11961362716177915,0.018639769013253562,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.0
63,0.05625000000000001,1.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.0
64,0.037500000000000006,0.04340130819545984,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.0
65,0.25,0.1575116510446667,0.014923786493243104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,,0.0
66,0.075,0.03174774269812697,0.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.0
67,0.15625,0.05707795931677373,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,,0.0
68,0.1125,0.09592601451008542,0.006762644617126637,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.0
