Hero_id;Hero_name;Movie;Affiliation
34;Bor;Thor: The Dark World;Unnafiliated
35;Brad Davis;Spider-Man: Far From Home;Unnafiliated
36;Brahl;Guardians of the Galaxy Vol. 2;Unnafiliated
37;Brandt;Captain America: The First Avenger;Unnafiliated
38;Brock Rumlow;Captain America: The Winter Soldier;Unnafiliated
38;Brock Rumlow;Captain America: Civil War;Unnafiliated
38;Brock Rumlow;Avengers: Endgame;Unnafiliated
39;Bron-Char;Captain Marvel;Starforce
40;Cameron Klein;Captain America: The Winter Soldier;Unnafiliated
41;Captain America;Captain America: The First Avenger;Avengers
41;Captain America;Thor: The Dark World;Avengers
41;Captain America;Captain America: The Winter Soldier;Avengers
41;Captain America;Avengers: Age of Ultron;Avengers
41;Captain America;Ant-Man;Avengers
41;Captain America;Captain America: Civil War;Avengers
41;Captain America;Spider-Man: Homecoming;Avengers
41;Captain America;Avengers: Infinity War;Avengers
41;Captain America;Captain Marvel;Avengers
41;Captain America;Avengers: Endgame;Avengers
42;Peggy Carter;Doctor Strange in the Multiverse of Madness;Guardians of the Multiverse
43;Captain Marvel;Captain Marvel;Avengers
43;Captain Marvel;Avengers: Endgame;Avengers
43;Captain Marvel;Shang-Chi and the Legend of the Ten Rings;Avengers
43;Captain Marvel;Doctor Strange in the Multiverse of Madness;Avengers
44;Carina;Thor: The Dark World;Unnafiliated
45;Cassie Lang;Ant-Man;Unnafiliated
45;Cassie Lang;Ant-Man and the Wasp;Unnafiliated
45;Cassie Lang;Avengers: Endgame;Unnafiliated
45;Cassie Lang;Ant-Man and the Wasp: Quantumania;Unnafiliated
46;Centurion;Ant-Man and the Wasp: Quantumania;Unnafiliated
47;Charles;Spider-Man: Homecoming;Unnafiliated
48;Charles Xavier;Doctor Strange in the Multiverse of Madness;Unnafiliated
49;Charlie-27;Guardians of the Galaxy Vol. 2;Unnafiliated
50;Chess Roberts;Iron Man 2;Unnafiliated
51;Chester Phillips;Captain America: The First Avenger;Unnafiliated
52;Christine Everhart;Iron Man;Unnafiliated
52;Christine Everhart;Iron Man 2;Unnafiliated
53;Christine Palmer;Doctor Strange;Unnafiliated
53;Christine Palmer;Doctor Strange in the Multiverse of Madness;Unnafiliated
54;Cindy;Spider-Man: Homecoming;Unnafiliated
54;Cindy;Avengers: Infinity War;Unnafiliated
55;Clea;Doctor Strange in the Multiverse of Madness;Unnafiliated
56;Coach Wilson;Spider-Man: Homecoming;Unnafiliated
56;Coach Wilson;Spider-Man: No Way Home;Unnafiliated
57;Cooper Barton;Avengers: Age of Ultron;Unnafiliated
57;Cooper Barton;Avengers: Endgame;Unnafiliated
58;Corvus Glaive;Avengers: Infinity War;Children of Thanos
58;Corvus Glaive;Avengers: Endgame;Children of Thanos
59;Cosmo the Spacedog;Guardians of the Galaxy;Unnafiliated
59;Cosmo the Spacedog;Guardians of the Galaxy Vol. 2;Unnafiliated
60;Council of Kangs;Ant-Man and the Wasp: Quantumania;Unnafiliated
61;Cull Obsidian;Avengers: Infinity War;Children of Thanos
61;Cull Obsidian;Avengers: Endgame;Children of Thanos
62;Dale;Ant-Man;Unnafiliated
62;Dale;Ant-Man and the Wasp: Quantumania;Unnafiliated
63;Dane Whitman;Eternals;Unnafiliated
64;Daniel Drumm;Doctor Strange;Unnafiliated
65;Darcy Lewis;Thor;Unnafiliated
65;Darcy Lewis;Thor: The Dark World;Unnafiliated
65;Darcy Lewis;Thor: Love and Thunder;Unnafiliated
66;Darren Cross M.O.D.O.K.;Ant-Man and the Wasp: Quantumania;Unnafiliated
67;Darryl;Thor: Love and Thunder;Unnafiliated
68;Dave;Ant-Man;Unnafiliated
68;Dave;Ant-Man and the Wasp;Unnafiliated
69;Dean of MIT;Captain America: Civil War;Unnafiliated
70;Death Dealer;Shang-Chi and the Legend of the Ten Rings;Unnafiliated
71;Defender Strange;Doctor Strange in the Multiverse of Madness;Unnafiliated
72;Dimitri;Spider-Man: Far From Home;Unnafiliated
73;Dionysus;Thor: Love and Thunder;Unnafiliated
74;Doctor Octopus;Spider-Man: No Way Home;Unnafiliated
75;Doris Toomes;Spider-Man: Homecoming;Unnafiliated
76;Dormammu;Doctor Strange;Unnafiliated
77;Drax the Destroyer;Guardians of the Galaxy;Guardians of the Galaxy
77;Drax the Destroyer;Guardians of the Galaxy Vol. 2;Guardians of the Galaxy
77;Drax the Destroyer;Avengers: Infinity War;Guardians of the Galaxy
77;Drax the Destroyer;Avengers: Endgame;Guardians of the Galaxy
77;Drax the Destroyer;Thor: Love and Thunder;Guardians of the Galaxy
78;Dreykov;Black Widow;Unnafiliated
79;Druig;Eternals;Unnafiliated
80;E.D.I.T.H.;Spider-Man: Far From Home;Unnafiliated
80;E.D.I.T.H.;Spider-Man: No Way Home;Unnafiliated
81;Ebony Maw;Avengers: Infinity War;Children of Thanos
81;Ebony Maw;Avengers: Endgame;Children of Thanos
82;Ego;Guardians of the Galaxy Vol. 2;Unnafiliated
83;Eir;Thor: The Dark World;Unnafiliated
84;Eitri;Avengers: Infinity War;Unnafiliated
85;Electro;Spider-Man: No Way Home;Unnafiliated
86;Elihas Starr;Ant-Man and the Wasp;Unnafiliated
87;Ellen Brandt;Iron Man 3;Unnafiliated
88;Eric Savin;Iron Man 3;Unnafiliated
89;Erik Selvig;Thor;Unnafiliated
89;Erik Selvig;Thor: The Dark World;Unnafiliated
89;Erik Selvig;Avengers: Age of Ultron;Unnafiliated
89;Erik Selvig;Thor: Love and Thunder;Unnafiliated
90;Eugene “Flash” Thompson;Spider-Man: Homecoming;Unnafiliated
90;Eugene “Flash” Thompson;Spider-Man: Far From Home;Unnafiliated
90;Eugene “Flash” Thompson;Spider-Man: No Way Home;Unnafiliated
